"codigo_prato";"codigo_tipo_prato";"nome_prato";"preco_unitario_prato"
1;3;"quibusdam";57.0
2;3;"at";84.0
3;2;"dicta";30.0
4;2;"ullam";98.0
5;3;"deserunt";30.0
6;4;"consectetur";15.0
7;3;"nemo";22.0
8;4;"nobis";93.0
9;3;"aspernatur";82.0
10;2;"perferendis";67.0
11;4;"officia";32.0
12;2;"veritatis";49.0
13;2;"sunt";92.0
14;2;"quas";38.0
15;2;"praesentium";71.0
16;4;"nostrum";98.0
17;3;"illo";51.0
18;1;"ipsa";18.0
19;1;"nemo";29.0
20;2;"error";58.0
21;4;"id";23.0
22;3;"excepturi";58.0
23;4;"quos";82.0
24;1;"explicabo";54.0
25;4;"aliquam";21.0
26;4;"tempore";45.0
27;1;"blanditiis";97.0
28;1;"quidem";25.0
29;4;"consequuntur";68.0
30;4;"similique";88.0
31;2;"odio";52.0
32;4;"saepe";53.0
33;1;"illo";31.0
34;1;"temporibus";12.0
35;1;"nostrum";11.0
36;4;"dolorum";57.0
37;3;"magni";20.0
38;3;"numquam";49.0
39;2;"tenetur";29.0
40;4;"reprehenderit";35.0
41;4;"quaerat";37.0
42;4;"illum";58.0
43;2;"reprehenderit";61.0
44;2;"fugiat";26.0
45;3;"quas";35.0
46;4;"natus";76.0
47;1;"nam";47.0
48;2;"modi";38.0
49;2;"nobis";10.0
50;2;"ullam";13.0
51;2;"aliquid";40.0
52;1;"aspernatur";94.0
53;4;"corrupti";27.0
54;1;"atque";30.0
55;4;"itaque";55.0
56;1;"eius";17.0
57;2;"ducimus";67.0
58;3;"nemo";23.0
59;3;"assumenda";74.0
60;3;"quam";71.0
61;3;"sint";85.0
62;3;"magnam";40.0
63;2;"nisi";29.0
64;4;"voluptatum";21.0
65;4;"adipisci";36.0
66;4;"quas";41.0
67;3;"voluptatibus";91.0
68;3;"vero";82.0
69;4;"doloremque";55.0
70;4;"dicta";15.0
71;4;"tenetur";60.0
72;3;"occaecati";78.0
73;2;"voluptatum";32.0
74;1;"quo";76.0
75;3;"quaerat";88.0
76;3;"illo";70.0
77;1;"eaque";36.0
78;1;"cumque";16.0
79;3;"quos";15.0
80;1;"ut";43.0
81;1;"debitis";55.0
82;2;"unde";35.0
83;1;"dolorum";41.0
84;2;"sequi";63.0
85;3;"quibusdam";29.0
86;2;"quibusdam";79.0
87;2;"nam";83.0
88;4;"facilis";45.0
89;2;"impedit";20.0
90;1;"corrupti";34.0
91;2;"magnam";47.0
92;1;"ex";73.0
93;4;"fugit";93.0
94;3;"tempora";67.0
95;3;"accusamus";49.0
96;3;"non";83.0
97;1;"occaecati";75.0
98;1;"doloremque";28.0
99;3;"minus";55.0
100;3;"quaerat";68.0
101;1;"doloremque";13.0
102;4;"voluptas";87.0
103;2;"numquam";25.0
104;4;"labore";52.0
105;2;"praesentium";32.0
106;3;"sapiente";67.0
107;1;"molestias";58.0
108;4;"sit";38.0
109;2;"architecto";94.0
110;2;"earum";97.0
111;1;"culpa";27.0
112;4;"aliquid";62.0
113;3;"quia";73.0
114;3;"beatae";85.0
115;1;"sit";27.0
116;1;"est";77.0
117;1;"veniam";45.0
118;2;"odio";62.0
119;3;"eaque";71.0
120;1;"harum";14.0
121;4;"doloremque";67.0
122;3;"molestias";35.0
123;3;"magni";24.0
124;1;"maiores";46.0
125;3;"vero";88.0
126;2;"ea";27.0
127;3;"harum";43.0
128;1;"voluptatum";13.0
129;2;"corrupti";40.0
130;1;"velit";47.0
131;2;"occaecati";41.0
132;4;"corporis";91.0
133;4;"qui";51.0
134;2;"maiores";28.0
135;3;"laboriosam";72.0
136;1;"qui";36.0
137;4;"vitae";31.0
138;3;"fugit";100.0
139;4;"ut";56.0
140;4;"deserunt";93.0
141;4;"explicabo";83.0
142;2;"unde";82.0
143;1;"sequi";57.0
144;2;"laboriosam";70.0
145;4;"magni";46.0
146;1;"fuga";41.0
147;4;"ea";32.0
148;3;"error";18.0
149;4;"accusantium";61.0
150;1;"nulla";65.0
151;1;"rem";96.0
152;4;"facere";87.0
153;3;"sint";89.0
154;4;"deserunt";87.0
155;3;"veniam";56.0
156;1;"numquam";51.0
157;3;"unde";56.0
158;1;"recusandae";34.0
159;1;"aperiam";86.0
160;2;"sed";55.0
161;4;"soluta";77.0
162;1;"tempore";68.0
163;4;"doloremque";29.0
164;1;"in";49.0
165;4;"nesciunt";56.0
166;3;"fuga";11.0
167;2;"sapiente";49.0
168;3;"ducimus";12.0
169;3;"repellendus";79.0
170;3;"reiciendis";39.0
171;1;"culpa";88.0
172;3;"excepturi";29.0
173;4;"corporis";80.0
174;2;"iusto";42.0
175;2;"hic";94.0
176;2;"sit";92.0
177;1;"tempora";53.0
178;4;"asperiores";95.0
179;3;"assumenda";22.0
180;2;"necessitatibus";61.0
181;3;"nobis";74.0
182;2;"eligendi";64.0
183;2;"nemo";91.0
184;2;"consequatur";10.0
185;2;"odit";55.0
186;4;"neque";39.0
187;1;"iusto";56.0
188;4;"eius";70.0
189;3;"esse";81.0
190;1;"asperiores";48.0
191;2;"odio";58.0
192;1;"illo";96.0
193;2;"odio";72.0
194;3;"suscipit";27.0
195;4;"esse";48.0
196;4;"laboriosam";97.0
197;2;"ea";73.0
198;4;"laborum";17.0
199;3;"vel";20.0
200;2;"rem";14.0
201;3;"aliquid";45.0
202;4;"quam";86.0
203;1;"ducimus";88.0
204;4;"odio";35.0
205;1;"quos";82.0
206;2;"dolorum";45.0
207;2;"nisi";96.0
208;3;"id";16.0
209;2;"excepturi";41.0
210;3;"eligendi";13.0
211;4;"magnam";45.0
212;4;"quos";23.0
213;3;"fugiat";27.0
214;4;"possimus";58.0
215;4;"asperiores";37.0
216;1;"voluptatibus";29.0
217;1;"sequi";56.0
218;2;"dolorum";11.0
219;2;"voluptates";27.0
220;3;"eius";34.0
221;1;"deleniti";29.0
222;4;"quas";21.0
223;4;"earum";70.0
224;1;"ut";75.0
225;2;"recusandae";53.0
226;2;"molestias";77.0
227;2;"ducimus";96.0
228;1;"natus";94.0
229;2;"cum";96.0
230;2;"cum";54.0
231;2;"facilis";22.0
232;2;"accusamus";58.0
233;4;"laudantium";25.0
234;4;"error";35.0
235;4;"inventore";58.0
236;1;"necessitatibus";32.0
237;1;"quia";15.0
238;1;"explicabo";16.0
239;1;"soluta";66.0
240;3;"eum";56.0
241;2;"quis";100.0
242;1;"ullam";12.0
243;1;"at";83.0
244;1;"ad";95.0
245;4;"eum";35.0
246;4;"possimus";66.0
247;1;"nam";58.0
248;3;"facilis";54.0
249;2;"sequi";79.0
250;4;"eaque";10.0
251;1;"minus";21.0
252;2;"iusto";69.0
253;4;"laudantium";14.0
254;3;"expedita";21.0
255;3;"dolore";92.0
256;4;"eum";13.0
257;1;"totam";29.0
258;2;"soluta";43.0
259;4;"tenetur";95.0
260;4;"animi";47.0
261;4;"ipsa";44.0
262;2;"assumenda";37.0
263;1;"iusto";48.0
264;2;"nam";14.0
265;2;"soluta";14.0
266;1;"nesciunt";88.0
267;2;"repudiandae";24.0
268;3;"quas";16.0
269;4;"debitis";43.0
270;2;"tempore";22.0
271;2;"cumque";29.0
272;4;"alias";34.0
273;4;"tempora";93.0
274;1;"ab";63.0
275;2;"explicabo";88.0
276;1;"dicta";34.0
277;3;"excepturi";95.0
278;4;"exercitationem";40.0
279;1;"ab";58.0
280;3;"sit";57.0
281;2;"minima";78.0
282;3;"laborum";27.0
283;2;"cum";42.0
284;2;"voluptas";80.0
285;1;"sapiente";75.0
286;4;"at";17.0
287;3;"debitis";48.0
288;2;"nobis";44.0
289;3;"dolor";56.0
290;4;"amet";28.0
291;1;"voluptatibus";84.0
292;4;"porro";85.0
293;2;"magni";54.0
294;3;"quia";35.0
295;2;"velit";77.0
296;4;"labore";80.0
297;4;"repellendus";99.0
298;3;"cupiditate";52.0
299;2;"id";15.0
300;1;"possimus";100.0
301;4;"quidem";65.0
302;4;"illum";73.0
303;4;"delectus";100.0
304;2;"vitae";19.0
305;2;"rem";56.0
306;1;"reprehenderit";96.0
307;1;"repudiandae";72.0
308;2;"architecto";16.0
309;4;"deleniti";27.0
310;2;"ratione";83.0
311;3;"quibusdam";45.0
312;2;"perferendis";33.0
313;2;"aspernatur";12.0
314;1;"soluta";56.0
315;4;"ab";55.0
316;3;"perspiciatis";16.0
317;2;"dolorem";91.0
318;4;"culpa";79.0
319;3;"a";57.0
320;3;"reprehenderit";34.0
321;3;"tempore";52.0
322;3;"unde";71.0
323;3;"asperiores";78.0
324;3;"maiores";54.0
325;4;"itaque";92.0
326;1;"aut";78.0
327;3;"cum";64.0
328;2;"repellat";73.0
329;1;"consequuntur";61.0
330;4;"earum";67.0
331;2;"facere";11.0
332;1;"eos";70.0
333;4;"repellendus";91.0
334;4;"incidunt";95.0
335;1;"unde";88.0
336;1;"mollitia";51.0
337;1;"odit";85.0
338;3;"animi";19.0
339;4;"fugit";16.0
340;3;"esse";55.0
341;1;"aliquam";63.0
342;2;"impedit";60.0
343;3;"blanditiis";94.0
344;2;"quos";28.0
345;4;"voluptate";27.0
346;3;"aliquid";49.0
347;3;"placeat";27.0
348;1;"placeat";28.0
349;1;"eaque";47.0
350;1;"ducimus";78.0
351;4;"minima";23.0
352;2;"ipsum";48.0
353;4;"quibusdam";40.0
354;1;"illum";67.0
355;1;"repellendus";23.0
356;1;"id";23.0
357;1;"perferendis";67.0
358;4;"laboriosam";36.0
359;4;"maxime";62.0
360;3;"a";53.0
361;3;"voluptate";83.0
362;3;"distinctio";28.0
363;1;"rerum";16.0
364;3;"voluptatibus";30.0
365;1;"ratione";73.0
366;2;"officiis";11.0
367;2;"rem";25.0
368;3;"qui";76.0
369;3;"quidem";75.0
370;2;"laudantium";54.0
371;4;"deleniti";29.0
372;4;"perferendis";75.0
373;1;"sit";55.0
374;4;"facilis";100.0
375;2;"repudiandae";95.0
376;2;"consequuntur";68.0
377;3;"magnam";53.0
378;2;"dolor";41.0
379;3;"suscipit";29.0
380;3;"temporibus";92.0
381;1;"labore";78.0
382;3;"officia";32.0
383;3;"neque";38.0
384;3;"illo";71.0
385;1;"nemo";61.0
386;2;"dolor";52.0
387;3;"accusantium";90.0
388;2;"officia";85.0
389;2;"cumque";45.0
390;1;"a";47.0
391;2;"natus";27.0
392;2;"tenetur";71.0
393;1;"eos";23.0
394;4;"maiores";85.0
395;3;"hic";43.0
396;1;"magni";72.0
397;1;"non";23.0
398;1;"ab";99.0
399;1;"commodi";74.0
400;4;"ut";34.0
401;4;"minus";78.0
402;1;"ab";47.0
403;4;"pariatur";51.0
404;3;"nobis";62.0
405;4;"vitae";26.0
406;4;"tempora";19.0
407;4;"explicabo";95.0
408;4;"consectetur";45.0
409;4;"aliquid";31.0
410;4;"sapiente";48.0
411;3;"repellat";66.0
412;1;"soluta";96.0
413;2;"autem";53.0
414;1;"repellat";22.0
415;3;"mollitia";34.0
416;2;"consequatur";14.0
417;3;"eligendi";28.0
418;4;"cupiditate";56.0
419;2;"dolore";26.0
420;4;"consectetur";39.0
421;3;"repellat";84.0
422;2;"nihil";17.0
423;3;"voluptatum";32.0
424;4;"voluptates";63.0
425;1;"natus";23.0
426;1;"neque";46.0
427;3;"in";54.0
428;4;"aperiam";57.0
429;2;"assumenda";61.0
430;4;"quaerat";42.0
431;3;"minima";37.0
432;2;"nihil";99.0
433;1;"soluta";91.0
434;1;"earum";98.0
435;3;"ipsam";31.0
436;4;"sapiente";94.0
437;3;"iusto";23.0
438;3;"harum";42.0
439;2;"itaque";75.0
440;2;"tempore";18.0
441;3;"qui";46.0
442;1;"cumque";48.0
443;3;"corrupti";17.0
444;4;"repellat";31.0
445;4;"vitae";76.0
446;2;"debitis";70.0
447;1;"incidunt";62.0
448;3;"officia";93.0
449;2;"officiis";87.0
450;2;"dignissimos";16.0
451;1;"reprehenderit";84.0
452;4;"vitae";78.0
453;3;"sint";45.0
454;2;"illo";27.0
455;1;"maxime";12.0
456;2;"assumenda";71.0
457;2;"sequi";55.0
458;2;"molestias";58.0
459;1;"itaque";69.0
460;3;"dolore";23.0
461;4;"numquam";98.0
462;1;"voluptatum";26.0
463;4;"labore";16.0
464;4;"voluptatum";60.0
465;2;"dolores";53.0
466;1;"ad";43.0
467;4;"similique";76.0
468;3;"error";75.0
469;1;"accusamus";75.0
470;2;"reiciendis";45.0
471;2;"aperiam";51.0
472;3;"eligendi";70.0
473;3;"porro";10.0
474;1;"quasi";13.0
475;3;"dolores";88.0
476;4;"optio";99.0
477;1;"distinctio";64.0
478;4;"voluptatum";91.0
479;4;"commodi";86.0
480;3;"a";53.0
481;3;"perspiciatis";87.0
482;3;"atque";43.0
483;3;"culpa";85.0
484;2;"laboriosam";73.0
485;1;"fugiat";68.0
486;4;"hic";10.0
487;1;"quasi";98.0
488;3;"ipsa";20.0
489;1;"dolore";76.0
490;3;"in";80.0
491;2;"optio";25.0
492;2;"nemo";39.0
493;1;"impedit";53.0
494;2;"corrupti";25.0
495;4;"veritatis";58.0
496;2;"voluptas";89.0
497;3;"facere";59.0
498;3;"non";64.0
499;2;"consequatur";57.0
500;4;"error";54.0
501;1;"repudiandae";98.0
502;4;"cupiditate";13.0
503;2;"error";98.0
504;1;"fugiat";46.0
505;4;"labore";56.0
506;2;"natus";33.0
507;2;"et";93.0
508;1;"consequuntur";15.0
509;1;"amet";49.0
510;1;"at";65.0
511;3;"molestiae";36.0
512;2;"incidunt";89.0
513;1;"ipsum";91.0
514;3;"placeat";63.0
515;3;"nesciunt";99.0
516;1;"perspiciatis";99.0
517;3;"totam";73.0
518;1;"laboriosam";49.0
519;3;"quam";79.0
520;4;"consectetur";46.0
521;1;"assumenda";39.0
522;1;"vitae";96.0
523;3;"labore";84.0
524;1;"suscipit";24.0
525;4;"delectus";15.0
526;3;"incidunt";48.0
527;2;"maxime";18.0
528;1;"soluta";95.0
529;3;"accusamus";78.0
530;2;"quae";34.0
531;3;"modi";26.0
532;2;"inventore";45.0
533;4;"voluptatibus";98.0
534;1;"amet";75.0
535;4;"delectus";22.0
536;2;"atque";43.0
537;3;"dicta";94.0
538;3;"laborum";39.0
539;4;"saepe";65.0
540;3;"adipisci";21.0
541;3;"deserunt";78.0
542;4;"iure";50.0
543;3;"ducimus";89.0
544;2;"quod";48.0
545;4;"cum";13.0
546;4;"minima";30.0
547;3;"mollitia";81.0
548;4;"rerum";48.0
549;1;"nemo";44.0
550;3;"maxime";35.0
551;2;"iure";59.0
552;1;"doloremque";29.0
553;3;"occaecati";29.0
554;3;"doloribus";84.0
555;4;"magnam";72.0
556;4;"veritatis";45.0
557;4;"neque";68.0
558;1;"enim";79.0
559;4;"nesciunt";81.0
560;1;"libero";91.0
561;1;"voluptatum";44.0
562;1;"at";65.0
563;1;"aliquid";99.0
564;2;"modi";20.0
565;4;"odio";67.0
566;2;"blanditiis";20.0
567;2;"facere";53.0
568;2;"repellat";17.0
569;2;"enim";43.0
570;2;"molestiae";57.0
571;3;"maiores";83.0
572;3;"at";45.0
573;1;"sequi";32.0
574;4;"pariatur";18.0
575;4;"nobis";27.0
576;4;"vero";80.0
577;2;"voluptatibus";77.0
578;3;"aut";55.0
579;1;"nisi";72.0
580;4;"dolore";82.0
581;2;"voluptatibus";17.0
582;2;"ratione";99.0
583;4;"labore";94.0
584;2;"ad";31.0
585;3;"animi";70.0
586;4;"provident";59.0
587;3;"at";61.0
588;3;"suscipit";74.0
589;4;"a";51.0
590;1;"tenetur";38.0
591;4;"tempore";45.0
592;2;"quidem";92.0
593;3;"voluptatem";14.0
594;3;"tempora";45.0
595;2;"repellendus";31.0
596;3;"voluptatum";34.0
597;4;"quidem";88.0
598;4;"consequuntur";66.0
599;1;"aliquid";46.0
600;2;"quasi";99.0
601;2;"aut";40.0
602;2;"sunt";33.0
603;2;"eos";96.0
604;1;"tempora";21.0
605;3;"vitae";16.0
606;2;"cupiditate";88.0
607;4;"impedit";40.0
608;4;"excepturi";73.0
609;4;"reprehenderit";42.0
610;2;"nobis";58.0
611;3;"ipsa";97.0
612;2;"voluptatem";54.0
613;1;"sunt";26.0
614;2;"animi";78.0
615;2;"architecto";38.0
616;3;"non";83.0
617;4;"eligendi";100.0
618;2;"rem";60.0
619;1;"autem";91.0
620;4;"placeat";70.0
621;1;"eius";37.0
622;2;"iusto";44.0
623;3;"architecto";62.0
624;4;"magni";22.0
625;2;"natus";16.0
626;4;"laboriosam";68.0
627;2;"ex";36.0
628;2;"autem";83.0
629;3;"eaque";95.0
630;4;"sed";80.0
631;1;"porro";11.0
632;3;"magni";38.0
633;2;"quis";44.0
634;3;"totam";23.0
635;4;"eos";93.0
636;3;"numquam";85.0
637;4;"quos";90.0
638;4;"sint";37.0
639;4;"repellendus";47.0
640;1;"deleniti";89.0
641;4;"ab";92.0
642;1;"eum";31.0
643;4;"qui";56.0
644;1;"id";12.0
645;2;"iste";11.0
646;3;"error";42.0
647;2;"eligendi";30.0
648;3;"qui";64.0
649;2;"quidem";67.0
650;1;"qui";78.0
651;1;"eveniet";51.0
652;1;"enim";86.0
653;2;"esse";84.0
654;2;"ipsam";57.0
655;3;"sint";68.0
656;3;"error";82.0
657;1;"eveniet";44.0
658;3;"dolorum";16.0
659;2;"aperiam";40.0
660;1;"dolorum";55.0
661;2;"laboriosam";25.0
662;3;"nihil";86.0
663;3;"placeat";65.0
664;2;"hic";67.0
665;1;"placeat";14.0
666;2;"possimus";37.0
667;2;"quibusdam";16.0
668;2;"hic";62.0
669;1;"ratione";15.0
670;3;"numquam";62.0
671;4;"minus";57.0
672;4;"molestiae";88.0
673;4;"laboriosam";59.0
674;4;"deserunt";96.0
675;1;"laborum";21.0
676;2;"est";50.0
677;4;"totam";30.0
678;1;"veniam";63.0
679;3;"dignissimos";32.0
680;2;"laudantium";59.0
681;1;"ea";67.0
682;4;"placeat";96.0
683;3;"doloribus";99.0
684;4;"nihil";81.0
685;1;"harum";92.0
686;2;"optio";59.0
687;4;"recusandae";83.0
688;2;"natus";80.0
689;3;"vel";71.0
690;1;"sint";19.0
691;3;"sed";13.0
692;1;"eligendi";53.0
693;3;"corporis";92.0
694;2;"neque";70.0
695;3;"suscipit";84.0
696;3;"nihil";92.0
697;4;"accusantium";31.0
698;2;"magni";94.0
699;2;"placeat";11.0
700;4;"necessitatibus";79.0
701;1;"nihil";87.0
702;2;"expedita";10.0
703;2;"excepturi";47.0
704;2;"tenetur";13.0
705;3;"minus";95.0
706;2;"maxime";43.0
707;1;"error";54.0
708;1;"dicta";51.0
709;3;"tempore";82.0
710;3;"blanditiis";33.0
711;4;"voluptate";39.0
712;2;"temporibus";79.0
713;2;"veritatis";40.0
714;2;"possimus";37.0
715;4;"voluptatibus";42.0
716;4;"corrupti";64.0
717;2;"voluptatibus";25.0
718;4;"ab";76.0
719;4;"tempore";23.0
720;1;"illo";36.0
721;2;"alias";10.0
722;2;"reprehenderit";23.0
723;1;"dolores";61.0
724;4;"id";53.0
725;1;"natus";58.0
726;4;"quo";100.0
727;1;"maxime";98.0
728;2;"deleniti";30.0
729;2;"accusantium";33.0
730;4;"accusamus";27.0
731;2;"quo";65.0
732;2;"vel";28.0
733;3;"vitae";17.0
734;3;"dolor";19.0
735;3;"cupiditate";45.0
736;1;"expedita";55.0
737;2;"voluptatem";16.0
738;1;"sit";83.0
739;1;"aut";77.0
740;4;"ipsum";61.0
741;2;"aliquid";65.0
742;1;"illum";52.0
743;4;"maxime";76.0
744;4;"iure";64.0
745;4;"minus";44.0
746;3;"distinctio";46.0
747;1;"aliquid";80.0
748;3;"aperiam";39.0
749;2;"quaerat";41.0
750;1;"laboriosam";15.0
751;4;"est";16.0
752;3;"veniam";94.0
753;4;"mollitia";89.0
754;1;"esse";52.0
755;1;"voluptas";12.0
756;1;"est";35.0
757;2;"nulla";75.0
758;3;"autem";70.0
759;1;"deleniti";45.0
760;4;"soluta";36.0
761;3;"totam";53.0
762;2;"ipsum";17.0
763;3;"minus";91.0
764;4;"numquam";98.0
765;4;"quisquam";99.0
766;3;"inventore";61.0
767;2;"porro";99.0
768;4;"corrupti";31.0
769;2;"nostrum";33.0
770;4;"fugit";38.0
771;2;"ullam";76.0
772;1;"dignissimos";66.0
773;2;"velit";90.0
774;2;"laboriosam";93.0
775;1;"minus";12.0
776;1;"omnis";93.0
777;2;"a";26.0
778;3;"eos";76.0
779;3;"aperiam";82.0
780;2;"occaecati";78.0
781;2;"vel";83.0
782;4;"illo";89.0
783;4;"inventore";73.0
784;1;"exercitationem";50.0
785;4;"id";86.0
786;3;"sed";85.0
787;2;"vel";74.0
788;1;"ad";59.0
789;4;"tempora";28.0
790;2;"quisquam";15.0
791;1;"minus";80.0
792;1;"ipsa";48.0
793;4;"voluptates";62.0
794;1;"ducimus";14.0
795;1;"beatae";56.0
796;4;"consequuntur";14.0
797;1;"nesciunt";71.0
798;2;"ullam";76.0
799;4;"ipsam";50.0
800;2;"velit";40.0
801;1;"quas";33.0
802;3;"quia";25.0
803;3;"mollitia";57.0
804;4;"repellat";73.0
805;2;"occaecati";69.0
806;3;"iste";69.0
807;2;"voluptas";48.0
808;2;"sequi";42.0
809;3;"sunt";54.0
810;4;"sapiente";22.0
811;3;"officia";17.0
812;2;"distinctio";43.0
813;1;"dolorum";75.0
814;2;"possimus";77.0
815;3;"eos";47.0
816;4;"eius";94.0
817;2;"illo";33.0
818;1;"numquam";74.0
819;1;"voluptas";100.0
820;3;"alias";70.0
821;2;"officia";13.0
822;4;"ea";51.0
823;3;"sint";79.0
824;2;"voluptate";30.0
825;3;"voluptate";37.0
826;3;"suscipit";87.0
827;3;"sint";28.0
828;4;"alias";68.0
829;2;"deleniti";42.0
830;3;"dignissimos";45.0
831;1;"dolorum";49.0
832;4;"rerum";98.0
833;2;"repellendus";81.0
834;4;"quasi";71.0
835;2;"dignissimos";40.0
836;1;"sapiente";55.0
837;2;"accusamus";70.0
838;2;"corrupti";65.0
839;4;"nemo";92.0
840;4;"illo";98.0
841;3;"inventore";29.0
842;2;"velit";76.0
843;4;"aut";84.0
844;1;"deserunt";34.0
845;1;"placeat";89.0
846;3;"officia";80.0
847;3;"vitae";93.0
848;1;"assumenda";11.0
849;4;"numquam";100.0
850;2;"cum";45.0
851;1;"voluptatum";33.0
852;3;"voluptatibus";85.0
853;1;"numquam";41.0
854;2;"quis";64.0
855;2;"accusamus";17.0
856;2;"non";66.0
857;3;"quia";36.0
858;4;"quibusdam";54.0
859;3;"ea";18.0
860;1;"praesentium";95.0
861;2;"aliquid";91.0
862;1;"amet";14.0
863;2;"atque";76.0
864;3;"animi";92.0
865;1;"laborum";72.0
866;3;"quod";12.0
867;4;"nisi";29.0
868;1;"nesciunt";52.0
869;2;"provident";70.0
870;4;"enim";35.0
871;4;"voluptatibus";99.0
872;4;"eligendi";35.0
873;3;"quis";17.0
874;1;"eveniet";63.0
875;3;"dolorum";35.0
876;4;"culpa";96.0
877;1;"tempora";11.0
878;4;"ea";65.0
879;2;"sit";21.0
880;1;"iste";31.0
881;2;"aliquid";14.0
882;1;"illum";65.0
883;1;"eos";77.0
884;3;"rerum";88.0
885;2;"sapiente";63.0
886;2;"aperiam";53.0
887;4;"commodi";54.0
888;2;"voluptatem";88.0
889;1;"earum";25.0
890;2;"dolores";68.0
891;2;"earum";79.0
892;4;"nesciunt";79.0
893;1;"modi";41.0
894;4;"velit";83.0
895;4;"ipsam";26.0
896;3;"amet";95.0
897;3;"sequi";89.0
898;2;"ea";65.0
899;1;"deserunt";11.0
900;1;"consequuntur";56.0
901;1;"repellendus";37.0
902;4;"eius";87.0
903;4;"iusto";83.0
904;4;"exercitationem";41.0
905;3;"impedit";74.0
906;3;"nulla";86.0
907;3;"ipsam";14.0
908;3;"culpa";73.0
909;1;"neque";48.0
910;2;"quod";58.0
911;4;"placeat";29.0
912;2;"neque";23.0
913;2;"magnam";53.0
914;2;"pariatur";15.0
915;3;"ad";17.0
916;3;"autem";89.0
917;4;"incidunt";54.0
918;3;"temporibus";90.0
919;2;"consequatur";23.0
920;3;"accusamus";92.0
921;4;"suscipit";43.0
922;3;"expedita";29.0
923;3;"incidunt";23.0
924;4;"quod";52.0
925;3;"doloribus";41.0
926;2;"excepturi";25.0
927;2;"commodi";64.0
928;1;"corrupti";29.0
929;1;"odit";45.0
930;4;"assumenda";22.0
931;4;"praesentium";23.0
932;3;"quam";69.0
933;3;"velit";95.0
934;2;"quo";95.0
935;1;"fugiat";96.0
936;4;"corrupti";32.0
937;2;"non";29.0
938;2;"sunt";41.0
939;2;"aperiam";85.0
940;3;"dicta";68.0
941;1;"vero";84.0
942;2;"repudiandae";46.0
943;2;"cumque";68.0
944;3;"quidem";56.0
945;3;"officia";30.0
946;1;"ipsa";84.0
947;4;"harum";36.0
948;4;"dolores";35.0
949;4;"id";57.0
950;3;"itaque";87.0
951;3;"ipsam";65.0
952;3;"dolorem";57.0
953;2;"temporibus";45.0
954;1;"odit";93.0
955;2;"beatae";83.0
956;3;"magnam";20.0
957;4;"at";48.0
958;4;"totam";88.0
959;4;"nemo";48.0
960;2;"dolores";96.0
961;3;"assumenda";52.0
962;2;"adipisci";61.0
963;1;"soluta";10.0
964;1;"soluta";48.0
965;3;"itaque";27.0
966;4;"necessitatibus";31.0
967;3;"cupiditate";72.0
968;2;"enim";70.0
969;3;"ea";65.0
970;1;"numquam";49.0
971;3;"voluptate";33.0
972;3;"doloribus";35.0
973;1;"adipisci";53.0
974;1;"aut";86.0
975;3;"non";94.0
976;4;"quia";57.0
977;3;"fugit";34.0
978;2;"cumque";66.0
979;3;"soluta";15.0
980;4;"vitae";39.0
981;3;"sed";91.0
982;4;"totam";16.0
983;1;"nulla";55.0
984;1;"repellendus";92.0
985;1;"iste";22.0
986;2;"quis";44.0
987;4;"eligendi";47.0
988;4;"quos";34.0
989;4;"deleniti";21.0
990;1;"aliquid";11.0
991;1;"doloribus";52.0
992;4;"ab";75.0
993;1;"dolor";87.0
994;2;"quos";10.0
995;4;"voluptatum";54.0
996;1;"ea";73.0
997;2;"suscipit";89.0
998;1;"corporis";29.0
999;4;"ex";91.0
1000;3;"nisi";98.0
